,name,data
0,"A Ritchie, 107 Rosehill Dr, Aberdeen test_1.png",test
1,"Ainslie Park Leisure Centre, Edinburgh test_1.png",test
2,"Aviemore Kart Raceway, Aviemore test_1.png",test
3,"Banchory Academy, Banchory test_1.png",test
4,"Booker Glasgow, Glasgow test_1.png",test
5,"Brewsterwells Crematorium Ltd, Leven test_1.png",test
6,"Bridge of Don Country Club, Glashieburn test_1.png",test
7,"Bristow, HM Coastguard SAR, Inverness test_1.png",test
8,"Clyde Auto Repairs, Glasgow test_1.png",test
9,"D M Forklifts, Lyndon, Stonehaven test_1.png",test
10,"Dark Trinity Art Tattoo Studio, Aviemore test_1.png",test
11,"East Sands Leisure Centre, St Andrews test_1.png",test
12,"Flowers With Flair, Aberdeen test_1.png",test
13,"Foxnose, Partick, Glasgow test_1.png",test
14,"IKEA Edinburgh, Costkea Way test_1.png",test
15,"Jewson Aberdeen, Aberdeen test_1.png",test
16,"Millburn Academy, Inverness test_1.png",test
17,"Murrayburn Primary School, Edinburgh test_1.png",test
18,"Nucore Group, Aberdeen test_1.png",test
19,"OVO Hydro, Glasgow test_1.png",test
20,"Pilton Youth & Children_s Project, Edinburgh test_1.png",test
21,"Robroyston Retail Park, Glasgow test_1.png",test
22,"St Andrews Golf Company Ltd., Leven test_1.png",test
23,"Sterling Home, Aberdeen test_1.png",test
24,"String Sports, Glasgow test_1.png",test
25,"Tesco Petrol Station, Dores Rd, Inverness test_1.png",test
26,"The Seafood Ristorante, St Andrews test_1.png",test
27,"UPS, 30 S Gyle Cres, Edinburgh test_1.png",test
28,"aberdeen science centre, aberdeen train_1.png",train
29,"aberdeen sports village, aberdeen train_1.png",train
30,"arden court, inverness test_1.png",test
31,asda aberdeen beach train_1.png,train
32,"bp, Dunnottar Ave, Stonehaven test_1.png",test
33,"edward wright building, aberdeen train_1.png",train
34,"harlaw academy, aberdeen train_1.png",train
35,"jump in adventure park, aberdeen train_1.png",train
36,"king's pavilion, aberdeen train_1.png",train
37,"lidl, king street, aberdeen train_1.png",train
38,"maritime and coastguard agency, aberdeen train_1.png",train
39,"parcelforce worldwide, inverness test_1.png",test
40,"screwfix inverness, inverness test_1.png",test
41,"south house, aberdeen train_1.png",train
42,"st mary's building, university of aberdeen train_1.png",train
43,"torry medical practice, aberdeen train_1.png",train
